0   0.0651444   0.311733   0.311678  0.311444 0.0731667 0.0731333 0.0742333 
1   0.113022   0.295644   0.295222  0.296111 0.0728899 0.076147 0.072244 
2   0.147767   0.285856   0.282922  0.283456 0.0680998 0.076289 0.0766229 
3   0.173122   0.278078   0.273189  0.275611 0.0705096 0.0756784 0.071773 
4   0.190667   0.273133   0.266  0.2702 0.0708035 0.075121 0.0722032 
5   0.204544   0.269722   0.259222  0.266511 0.0698885 0.0784879 0.0701949 
6   0.214989   0.265611   0.254833  0.264567 0.0722966 0.0764681 0.0678729 
7   0.223167   0.263333   0.2501  0.2634 0.0714077 0.0767822 0.0692117 
8   0.226844   0.262378   0.247444  0.263333 0.0692405 0.0748145 0.0675778 
9   0.228911   0.262144   0.245211  0.263733 0.0675023 0.0726089 0.0655696 
10   0.231322   0.261833   0.242333  0.264511 0.0687916 0.0753546 0.0664392 
11   0.231933   0.261956   0.241078  0.265033 0.068449 0.0724897 0.0667899 
12   0.235511   0.260656   0.237956  0.265878 0.0714286 0.0788127 0.0648556 
13   0.238167   0.259211   0.236278  0.266344 0.0726374 0.0720022 0.0691629 
14   0.239789   0.257878   0.234322  0.268011 0.0728278 0.0758523 0.0647866 
15   0.239489   0.2578   0.233322  0.269389 0.068077 0.0728816 0.0662908 
16   0.240144   0.257033   0.232356  0.270467 0.0699509 0.0720511 0.0632708 
17   0.239933   0.256   0.232711  0.271356 0.0714564 0.0721117 0.0670446 
18   0.239722   0.255611   0.232011  0.272656 0.0701389 0.0695665 0.064532 
19   0.239422   0.255711   0.231033  0.273833 0.0672897 0.072985 0.0646726 
20   0.237844   0.256167   0.230844  0.275144 0.0701312 0.069735 0.062609 
21   0.235811   0.255744   0.231444  0.277 0.0725656 0.0687813 0.0629972 
22   0.235678   0.255544   0.230467  0.278311 0.0691663 0.0720115 0.0647012 
23   0.234178   0.254333   0.229967  0.281522 0.0714379 0.0688458 0.0587272 
24   0.233689   0.253322   0.227811  0.285178 0.0708606 0.0727642 0.0595572 
25   0.234522   0.251533   0.227144  0.2868 0.07224 0.0676974 0.0596509 
26   0.236322   0.248389   0.226589  0.2887 0.0755367 0.0695593 0.0615218 
27   0.2359   0.246733   0.226567  0.2908 0.0741669 0.063306 0.0606935 
28   0.235689   0.244067   0.226489  0.293756 0.0751599 0.0675298 0.0591854 
29   0.233   0.242378   0.2277  0.296922 0.0722025 0.0630396 0.0568878 
30   0.232344   0.2397   0.228511  0.299444 0.076373 0.0623628 0.0593122 
31   0.2312   0.2378   0.228967  0.302033 0.0717564 0.0653992 0.0588868 
32   0.2312   0.234556   0.229278  0.304967 0.0756471 0.063328 0.0595961 
33   0.229533   0.233144   0.230467  0.306856 0.0747513 0.0618367 0.0592779 
34   0.228567   0.231233   0.231389  0.308811 0.0747272 0.0640247 0.0567766 
35   0.228289   0.229367   0.231467  0.310878 0.0726539 0.0609364 0.0599072 
36   0.2286   0.227333   0.231822  0.312244 0.0751829 0.0587558 0.0585439 
37   0.228078   0.225322   0.232233  0.314367 0.0743402 0.0615893 0.0574336 
38   0.228411   0.222133   0.233933  0.315522 0.0786528 0.0583704 0.0608631 
39   0.227744   0.218844   0.236156  0.317256 0.0788816 0.0547164 0.0584921 
40   0.2268   0.216656   0.237789  0.318756 0.0768684 0.0574951 0.0593283 
41   0.225989   0.214578   0.240122  0.319311 0.0751833 0.0545302 0.0616983 
42   0.224656   0.212511   0.241544  0.321289 0.0743061 0.0593216 0.0604078 
43   0.2242   0.209778   0.243722  0.3223 0.0788978 0.0537743 0.0596901 
44   0.222   0.207956   0.246678  0.323367 0.0745763 0.0510599 0.0591581 
45   0.220556   0.205844   0.249833  0.323767 0.0758709 0.0522499 0.0609903 
46   0.221589   0.2029   0.252067  0.323444 0.0757854 0.0510118 0.0618072 
47   0.221567   0.201344   0.2548  0.322289 0.0755161 0.0519263 0.0643078 
48   0.221467   0.1987   0.257267  0.322567 0.0764858 0.0516309 0.0628491 
49   0.221967   0.196989   0.260111  0.320933 0.0747637 0.0518701 0.0647928 
50   0.220722   0.1957   0.263567  0.320011 0.0724801 0.0469885 0.0641532 
51   0.218911   0.194278   0.267722  0.319089 0.071311 0.0481852 0.0656227 
52   0.218467   0.193378   0.271056  0.3171 0.0711467 0.0483088 0.0668918 
53   0.218211   0.191133   0.274856  0.3158 0.0746955 0.0479197 0.0664354 
54   0.216644   0.190444   0.2782  0.314711 0.0676084 0.0485912 0.0666033 
55   0.216467   0.188578   0.282922  0.312033 0.0704784 0.0461299 0.0687756 
56   0.214978   0.188056   0.286844  0.310122 0.0688782 0.045517 0.0679415 
57   0.214433   0.187667   0.291167  0.306733 0.0660561 0.0463666 0.070474 
58   0.213189   0.1864   0.295922  0.304489 0.0697454 0.0459454 0.0691154 
59   0.213178   0.185822   0.299389  0.301611 0.0677158 0.0464461 0.0707926 
60   0.210956   0.185356   0.305111  0.298578 0.0663119 0.0447207 0.069405 
61   0.210056   0.184867   0.310189  0.294889 0.0680974 0.0442826 0.0710033 
62   0.210222   0.183744   0.315478  0.290556 0.0675562 0.0438801 0.0727581 
63   0.209367   0.183722   0.320722  0.286189 0.061438 0.0428627 0.0730019 
64   0.207067   0.184333   0.325633  0.282967 0.0590868 0.0444483 0.0719804 
65   0.204444   0.184422   0.331233  0.2799 0.0620856 0.0436073 0.0712294 
66   0.202767   0.185078   0.336044  0.276111 0.0591035 0.0428365 0.0730817 
67   0.202611   0.1856   0.340644  0.271144 0.0591343 0.0438103 0.0765795 
68   0.201989   0.186667   0.345033  0.266311 0.0586686 0.0437406 0.074663 
69   0.199333   0.187722   0.350811  0.262133 0.0575595 0.0397707 0.0736399 
70   0.197978   0.189267   0.356522  0.256233 0.053211 0.0411744 0.0790946 
71   0.198822   0.189889   0.360867  0.250422 0.0563579 0.0426341 0.0790078 
72   0.199344   0.190322   0.365956  0.244378 0.0556466 0.0430445 0.0786671 
73   0.198333   0.192833   0.369867  0.238967 0.0512581 0.0435997 0.0779303 
74   0.196956   0.193822   0.375367  0.233856 0.0525497 0.0430185 0.0815083 
75   0.194756   0.196122   0.380622  0.2285 0.0498739 0.0425954 0.0811517 
76   0.194511   0.198067   0.384311  0.223111 0.0506487 0.0440215 0.0834427 
77   0.193778   0.200444   0.387211  0.218567 0.0490856 0.045218 0.0791335 
78   0.192122   0.202833   0.391111  0.213933 0.0480599 0.0428707 0.0794571 
79   0.191667   0.205511   0.393544  0.209278 0.0472747 0.0464205 0.0806066 
80   0.19   0.208078   0.395889  0.206033 0.0477401 0.0457664 0.0760818 
81   0.187878   0.211222   0.398711  0.202189 0.0477386 0.045776 0.0793831 
82   0.187433   0.213678   0.4009  0.197989 0.0450815 0.0453684 0.0756169 
83   0.186611   0.216844   0.402722  0.193822 0.0441995 0.0459799 0.0790729 
84   0.1866   0.220156   0.403478  0.189767 0.0453986 0.046434 0.0792823 
85   0.184811   0.223911   0.405622  0.185656 0.044413 0.0461267 0.0795714 
86   0.182889   0.227711   0.405711  0.183689 0.0429238 0.0464033 0.0717577 
87   0.182244   0.231544   0.405667  0.180544 0.0385967 0.0479268 0.0725865 
88   0.178633   0.236322   0.407444  0.1776 0.0418446 0.0439879 0.0758816 
89   0.178844   0.239922   0.406967  0.174267 0.0394471 0.0482956 0.0741366 
90   0.1766   0.243756   0.407878  0.171767 0.0397351 0.0453764 0.0727493 
91   0.1747   0.248411   0.407422  0.169467 0.0375148 0.0482443 0.0695388 
92   0.172989   0.253   0.406744  0.167267 0.0390034 0.0479164 0.070417 
93   0.171078   0.258067   0.405122  0.165733 0.0362319 0.0484334 0.0654311 
94   0.170444   0.2625   0.402878  0.164178 0.038233 0.0494775 0.0671091 
95   0.170056   0.268044   0.399856  0.162044 0.0361481 0.0511321 0.0659177 
96   0.1688   0.273811   0.396367  0.161022 0.0345299 0.0502404 0.0626029 
97   0.167378   0.280022   0.392333  0.160267 0.0346143 0.0514675 0.0623102 
98   0.164678   0.286156   0.389511  0.159656 0.0329736 0.0519116 0.0612174 
99   0.163833   0.290944   0.385456  0.159767 0.0345189 0.0513179 0.0550491 
100   0.161678   0.2965   0.381967  0.159856 0.0340271 0.0503301 0.0557758 
101   0.160778   0.302111   0.377067  0.160044 0.033502 0.0510225 0.0540071 
