# Table 
0 0.107791 0.297661 0.297011 0.297536 0.0278029 0.0278412 0.0278008 0.00188008 0.00338741 0.00325557 0.00300897 0.000555351 0.000610346 0.000560079
0.1 0.108026 0.286489 0.306776 0.298709 0.0287691 0.027087 0.0278762 0.00160415 0.00380744 0.0039223 0.00355911 0.000451026 0.000591534 0.000513189
0.2 0.108742 0.274705 0.317069 0.299485 0.0299646 0.0264038 0.0281336 0.00142363 0.00378969 0.00473781 0.00279061 0.00038803 0.000605492 0.00038885
0.3 0.108767 0.263146 0.329668 0.298419 0.0310103 0.0254812 0.0283543 0.00147909 0.00374908 0.0064984 0.0034471 0.000356486 0.000696186 0.000385558
0.4 0.109544 0.255531 0.337282 0.297643 0.0319688 0.0250995 0.0287637 0.00141501 0.00404903 0.00583569 0.00362269 0.00049737 0.000599844 0.000392792
0.5 0.110391 0.24724 0.346194 0.296176 0.0330116 0.0246714 0.0292698 0.00135019 0.00325459 0.00605451 0.00339441 0.000343212 0.0005949 0.000393683
0.6 0.111342 0.242315 0.352197 0.294145 0.0338013 0.0244449 0.0298269 0.00147147 0.0033256 0.00500242 0.00315058 0.000502838 0.000508851 0.000459099
0.7 0.11267 0.23854 0.354929 0.293861 0.0345864 0.0244744 0.0303333 0.00126512 0.00286647 0.00467842 0.00283356 0.000382112 0.000484331 0.000375634
0.8 0.114046 0.2351 0.357477 0.293377 0.0353502 0.0245193 0.0309035 0.00111718 0.00230179 0.00369579 0.0027361 0.000369157 0.000409727 0.000345613
0.9 0.115317 0.232513 0.360023 0.292147 0.0360092 0.0245703 0.0315175 0.00101531 0.00278294 0.00369697 0.00256772 0.000462524 0.000337514 0.000321068
1 0.116126 0.229983 0.362767 0.291124 0.0365283 0.0244618 0.0319733 0.00125717 0.00251382 0.00348149 0.00252728 0.000531119 0.000391328 0.000386636
